title,count,days,games/day
Novice,36099,40304,0.8956679237792775
Amateur (Class D),142060,147293,0.9644721745093113
Amateur (Class C),356649,329744,1.081593599883546
Amateur (Class B),511071,399870,1.2780928801860605
Amateur (Class A),432245,291973,1.4804279847794146
Master (Candidate) (CM),208837,126335,1.6530415166026833
Master (National) (NM),41780,24354,1.7155292765048862
Master (FIDE) (FM),22094,11121,1.98669184425861
Master (International) (IM),10367,5173,2.004059539918809
Grandmaster (GM),5229,2573,2.032258064516129
